"question","optionA","optionB","optionC","optionD","answer"
"在 VS Code 中，用來打開檔案、新增資料夾、瀏覽專案結構的工具列名稱是？","終端機 (Terminal)","偵錯 (Debug)","檔案總管 (Explorer)","擴充功能 (Extensions)","C"
"要儲存您在 VS Code 中正在編輯的檔案，最常用的快捷鍵是？","Ctrl + C","Ctrl + V","Ctrl + Z","Ctrl + S","D"
"在 VS Code 中，如果想要同時執行程式碼，例如運行一個簡單的網頁伺服器，您會在哪個面板操作？","擴充功能 (Extensions)","終端機 (Terminal)","設定 (Settings)","檔案總管 (Explorer)","B"
"當您想為 VS Code 增加新的功能，例如支援一個新的程式語言或主題，應該到哪裡安裝？","原始碼控制 (Source Control)","偵錯 (Run and Debug)","擴充功能 (Extensions)","設定檔 (Configuration File)","C"
"VS Code 的主要編輯區域（您寫程式碼的地方）通常被稱為？","側邊欄 (Sidebar)","狀態列 (Status Bar)","編輯器 (Editor)","活動列 (Activity Bar)","C"
"在 VS Code 中，哪個外掛程式可以讓您在編輯 HTML、CSS 檔案後，不用手動重新整理就能在瀏覽器上看到結果？","Code Runner","Prettier","GitLens","Live Server","D"
"當您在 VS Code 中輸入 HTML 標籤時，它會自動給您可能的選項和建議，這項功能稱為？","Debugger","IntelliSense (智慧提示)","Terminal","Compiler","B"
"在 VS Code 中，哪個工具可以讓您快速輸入 <p></p> 或 <div></div> 這樣完整的 HTML 標籤結構？","Live Server","Emmet","Git","TypeScript","B"
"如果您在 VS Code 中使用了 Git 進行版本控制，哪一個側邊欄圖標是您用來提交程式碼變更 (Commit) 的？","檔案總管","擴充功能","原始碼控制 (Source Control)","偵錯","C"
"要開啟 VS Code 的「命令面板」，快速執行各種指令，最常用的快捷鍵是？","Ctrl + C","Ctrl + Shift + P","Ctrl + B","Ctrl + Z","B"
"一個網頁的程式碼（例如 index.html）主要使用哪種語言來定義網頁的結構和內容？","CSS","JavaScript","HTML","Python","C"
"在 HTML 文件中，哪一個標籤包含您網頁上真正會顯示給使用者看的所有內容（文字、圖片、按鈕等）？","<head>","<html>","<body>","<title>","C"
"哪一種語言是用來控制網頁的外觀，例如顏色、字體大小、排版位置等？","HTML","CSS","JavaScript","SQL","B"
"如果要讓網頁有互動性和動態效果（例如按鈕點擊後有反應），通常會使用哪種語言？","CSS","HTML","JavaScript","PHP","C"
"在 HTML、CSS 或 JavaScript 程式碼中，用來為程式碼做解釋或備註，但不會影響程式執行的是什麼？","變數 (Variable)","標籤 (Tag)","註解 (Comment)","屬性 (Attribute)","C"